N,Triton,Torch
1024.000000,396.387102,447.854218
1536.000000,478.753266,485.052653
2048.000000,546.133325,511.999982
2560.000000,608.316845,499.512174
3072.000000,641.113029,461.160296
3584.000000,677.291303,441.319849
4096.000000,697.346024,429.333689
4608.000000,718.129898,416.003748
5120.000000,735.533082,417.959187
5632.000000,751.455170,410.844982
6144.000000,756.184613,387.739188
6656.000000,768.000009,388.612436
7168.000000,779.748419,388.334088
7680.000000,793.307326,387.226902
8192.000000,792.774204,379.552134
8704.000000,806.548284,377.750439
9216.000000,804.305459,374.689660
9728.000000,819.200036,371.179641
10240.000000,821.939781,361.411766
10752.000000,827.076952,361.411753
11264.000000,829.251512,356.643795
11776.000000,834.622399,349.782186
12288.000000,838.413644,336.273666
12800.000000,837.913405,345.787756
13312.000000,845.206356,340.605550
13824.000000,848.531950,345.600009
14336.000000,849.475181,339.984182
14848.000000,849.721626,339.706402
15360.000000,851.362570,336.657548
15872.000000,856.017954,336.750561
